"female_age","female_all","white","black","asian","native_american","hispanic"
"<1",NA,NA,NA,NA,NA,NA
"1-4",NA,NA,NA,NA,NA,NA
"5-9",NA,NA,NA,NA,NA,NA
"10-14",NA,NA,NA,NA,NA,NA
"15-19",NA,NA,NA,NA,NA,NA
"20-24",0.3,0.3,NA,NA,NA,NA
"25-29",0.6,0.6,NA,NA,NA,NA
"30-34",1.3,1.3,1.2,NA,NA,1
"35-39",2.7,2.9,1.8,2.6,NA,1.9
"40-44",8.6,8.9,7.4,7.3,NA,4.2
"45-49",25.1,25.8,25.7,13.5,13,10
"50-54",54.2,54.5,63.5,23.2,44.5,19.7
"55-59",85.4,86.5,96.4,37.1,56,40
"60-64",130.7,134.6,131.9,56.3,103.4,57.6
"65-69",224.6,233.2,202.8,98.4,171.9,101.4
"70-74",304.9,316.6,269.8,146.6,176.1,146.6
"75-79",354,366.6,298.6,205.6,262.5,178.8
"80-84",333.6,340.1,292.1,226.6,238.9,187.2
"85+",235.2,236.9,196.8,187.8,184.9,161.6
