"state","smokers...","cancer..."
"Alabama",21.5,0.0696
"Alaska",22.6,0.0572
"Arizona",16.3,0.0494
"Arkansas",25.9,0.0751
"California",12.5,0.0442
"Colorado",17.7,0.0449
"Connecticut",15.5,0.061
"Delaware",19.6,0.0679
"District of Columbia",18.8,0.0612
"Florida",16.8,0.0612
"Georgia",18.8,0.0667
"Hawaii",13.3,0.0449
"Idaho",17.2,0.051
"Illinois",18,0.0658
"Indiana",21.9,0.0698
"Iowa",19.5,0.0617
"Kansas",20,0.059
"Kentucky",26.5,0.0924
"Louisiana",23.5,0.0701
"Maine",20.2,0.0747
"Maryland",16.4,0.0561
"Massachusetts",16.6,0.0648
"Michigan",21.4,0.0651
"Minnesota",18,0.0547
"Mississippi",24.8,0.0745
"Missouri",22.1,0.0751
"Montana",19,0.0532
"Nebraska",18.5,0.0591
"Nevada",19.4,NA
"New Hampshire",16.2,0.064
"New Jersey",15.7,0.0563
"New Mexico",19.1,0.0406
"New York",16.6,0.0603
"North Carolina",20.3,0.0677
"North Dakota",21.2,0.0551
"Ohio",23.4,0.0668
"Oklahoma",23.7,0.0693
"Oregon",17.3,0.0559
"Pennsylvania",21,0.0639
"Rhode Island",17.4,0.0699
"South Carolina",22,0.067
"South Dakota",19.6,0.0546
"Tennessee",24.3,0.0749
"Texas",15.9,0.0554
"Utah",10.3,0.0299
"Vermont",16.6,0.0624
"Virginia",19,0.0606
"Washington",16.1,0.0588
"West Virginia",27.3,0.0771
"Wisconsin",18.7,0.0589
"Wyoming",20.6,0.048
